상호명,도로명주소,지번주소,위도,경도
정성약국,대전광역시 중구 계백로 1600,대전광역시 중구 유천동 185-1,36.31822394,127.3978847
다비치안경원,대전광역시 동구 중앙로 198,대전광역시 동구 중동 92-1,36.33039163,127.4311619
베리도넛,대전광역시 동구 수향길 97,대전광역시 동구 소제동 299-86,36.33588126,127.4370815
씨유,대전광역시 서구 만년남로3번길 25,대전광역시 서구 만년동 213,36.36531512,127.3752242
놀다방코인노래연습장,대전광역시 대덕구 비래서로 65,대전광역시 대덕구 비래동 142-6,36.35441522,127.4515551
초심대전둔산,대전광역시 서구 둔산남로 96,대전광역시 서구 탄방동 711,36.34872749,127.3882581
힐헤어끌림,대전광역시 중구 동서대로1421번길 43,대전광역시 중구 중촌동 412-3,36.33645426,127.4119582
다솜,대전광역시 중구 계백로 1719,대전광역시 중구 오류동 154-4,36.32220714,127.4104726
속푸리해장국,대전광역시 서구 도마로 45,대전광역시 서구 변동 56-8,36.32253279,127.3752206
나비정원,대전광역시 서구 탄방로7번길 51,대전광역시 서구 탄방동 1017,36.34628293,127.3931345
클린몽윈도우케어,대전광역시 유성구 현충원로347번길 45-9,대전광역시 유성구 구암동 658-4,36.36020355,127.3078967
마테호른,대전광역시 중구 수침로 97,대전광역시 중구 태평동 339-88,36.32805311,127.3989786
달시아이스크림세계과자,대전광역시 유성구 노은동로87번길 47-22,대전광역시 유성구 노은동 535-10,36.36796017,127.3215013
김재완원조돼지김치구이,대전광역시 유성구 은구비서로3번길 35,대전광역시 유성구 지족동 907-17,36.37347444,127.3196815
용운태평양약국,대전광역시 동구 백룡로 145,대전광역시 동구 용운동 451-15,36.32800309,127.4543131
대천수산,대전광역시 중구 대종로334번길 29,대전광역시 중구 부사동 97-19,36.3161704,127.435085
세븐대전도안우리점,대전광역시 서구 원도안로179번길 76-3,대전광역시 서구 도안동 1256,36.31869021,127.3443245
카페한가로와대전,대전광역시 중구 보문로254번길 36,대전광역시 중구 대흥동 460-1,36.32586072,127.4241335
주은정육점,대전광역시 유성구 관평2로 34,대전광역시 유성구 관평동 925,36.42361631,127.389132
큐어,대전광역시 유성구 테크노1로 12-22,대전광역시 유성구 관평동 1342,36.43010643,127.387609
에듀아이원,대전광역시 서구 원도안로179번길 23-9,대전광역시 서구 도안동 1316,36.31899032,127.3431749
팔구포차,대전광역시 서구 둔지로 12,대전광역시 서구 둔산동 1065,36.35072849,127.3760984
깨끗한친구들,대전광역시 대덕구 오정로23번길 16,대전광역시 대덕구 오정동 369-18,36.34934759,127.4130645
바비샵,대전광역시 대덕구 비래동로 1,대전광역시 대덕구 비래동 125-6,36.35439488,127.4490929
선진환경,대전광역시 대덕구 오정로63번길 12,대전광역시 대덕구 오정동 324-10,36.35210001,127.4101359
샤론미용실,대전광역시 중구 유천로132번길 31-17,대전광역시 중구 태평동 329-11,36.32529334,127.3968057
라하잉글리시대전열매영어교습소,대전광역시 유성구 노은로 174,대전광역시 유성구 지족동 901-3,36.37520676,127.3184405
쓰임오피스,대전광역시 서구 정림동로7번길 22,대전광역시 서구 정림동 610,36.30553392,127.366426
꽃돼지전국꽃배달,대전광역시 중구 용두로28번길 32,대전광역시 중구 용두동 56-157,36.32783883,127.4102409
베스트영수학원,대전광역시 동구 계족로 358,대전광역시 동구 성남동 166-157,36.34402454,127.4343158
살롱9헤어,대전광역시 서구 가장로 63,대전광역시 서구 괴정동 86-3,36.33670267,127.3825819
동화공인중개사사무소,대전광역시 동구 성동로 74,대전광역시 동구 자양동 201,36.34239275,127.451606
해남해산물,대전광역시 서구 복수남로 29,대전광역시 서구 복수동 758,36.29797088,127.3781554
빙글빙글,대전광역시 대덕구 신탄진로790번길 38,대전광역시 대덕구 신탄진동 157-2,36.44828752,127.431998
둔곡지구과학벨트공인중개사사무소,대전광역시 유성구 과학누리2길 6,대전광역시 유성구 구룡동 766-3,36.45075086,127.3595801
이리,대전광역시 중구 선화서로 51,대전광역시 중구 선화동 407-1,36.32821815,127.4177562
서진낚시,대전광역시 동구 옥천로 204-1,대전광역시 동구 판암동 351-39,36.318191,127.4628454
네일데이,대전광역시 유성구 관평1로 15,대전광역시 유성구 관평동 890,36.42589462,127.3870176
메가엠지씨커피대전가,대전광역시 서구 도안동로11번길 45,대전광역시 서구 도안동 1774,36.3054399,127.3505819
더예뻐네일,대전광역시 대덕구 동춘당로114번길 9,대전광역시 대덕구 송촌동 445-4,36.36700681,127.4382169
카페나무,대전광역시 서구 탄방로7번길 147,대전광역시 서구 탄방동 1172,36.34867529,127.3957118
뒷돈,대전광역시 유성구 봉산로22번길 3,대전광역시 유성구 봉산동 208-8,36.43580082,127.3873301
트레몰로대전터미널이마트,대전광역시 동구 동서대로 1689,대전광역시 동구 용전동 63-3,36.35030851,127.4366991
퀄리티,대전광역시 유성구 대학로 8,대전광역시 유성구 봉명동 551-14,36.35428675,127.3421766
루미헤어샵,대전광역시 서구 가수원로65번길 3,대전광역시 서구 가수원동 777-19,36.30004447,127.3511499
후라이드참잘하는집,대전광역시 서구 도솔로 135-1,대전광역시 서구 도마동 34-5,36.32280371,127.3736035
코코네키친,대전광역시 서구 관저서로 24,대전광역시 서구 관저동 1154-2,36.29450619,127.3306994
탑모텔,대전광역시 서구 계룡로636번길 15,대전광역시 서구 용문동 594-16,36.3381843,127.3920723
페로스터리,대전광역시 대덕구 중리로54번길 31,대전광역시 대덕구 중리동 373-27,36.36401545,127.4269949
살롱드케이,대전광역시 서구 관저동로 85,대전광역시 서구 관저동 1318,36.29974149,127.3402522
피에노,대전광역시 서구 둔산로31번길 38,대전광역시 서구 둔산동 1008,36.35341415,127.3778151
길이앤씨,대전광역시 서구 신갈마로 235,대전광역시 서구 갈마동 263-10,36.35464724,127.368914
한지갤러리앤카페,대전광역시 중구 대전천서로 529,대전광역시 중구 선화동 82-1,36.33398362,127.4228038
히다리,대전광역시 유성구 은구비남로 13,대전광역시 유성구 지족동 894-5,36.37256731,127.3170704
이서방공인중개사사무소,대전광역시 유성구 원신흥남로12번길 33-4,대전광역시 유성구 원신흥동 553-10,36.33362864,127.3402674
로뎀나무,대전광역시 서구 중반1길 6,대전광역시 서구 변동 33-37,36.32552503,127.3804314
대전빠른컴퓨터,대전광역시 유성구 진잠로150번길 34,대전광역시 유성구 원내동 78-13,36.30211626,127.3185536
지에스25효동,대전광역시 동구 계족로 33,대전광역시 동구 효동 135-18,36.31804107,127.4419206
엘백-2,대전광역시 동구 계족로489번길 73,대전광역시 동구 용전동 194-3,36.35530131,127.4290754
신영이엔씨,대전광역시 서구 구봉산북로16번길 4,대전광역시 서구 관저동 1971-4,36.29475896,127.3227703
세무법인경원,대전광역시 서구 둔산남로9번길 116,대전광역시 서구 둔산동 1206,36.35045374,127.3821949
구본컴퍼니,대전광역시 서구 둔산로 8,대전광역시 서구 둔산동 1091,36.3523174,127.3748936
나응,대전광역시 서구 대덕대로 238,대전광역시 서구 둔산동 1367,36.35411013,127.3799376
아이제이투어,대전광역시 대덕구 장동로 247,대전광역시 대덕구 장동 344-6,36.41484513,127.4401808
케이제이이엔씨,대전광역시 동구 계족로 480,대전광역시 동구 용전동 123-18,36.35457218,127.4330473
라온통신,대전광역시 서구 도산로 199-2,대전광역시 서구 변동 30-7,36.32617679,127.3792457
한,대전광역시 유성구 계룡로87번길 12,대전광역시 유성구 봉명동 552-8,36.35455035,127.3409488
딥드,대전광역시 서구 둔산로218번길 30,대전광역시 서구 둔산동 1967,36.34985885,127.3980758
손칼국수보쌈,대전광역시 서구 문정로170번길 19,대전광역시 서구 둔산동 1921,36.34957363,127.3969193
빅토리아헤어,대전광역시 유성구 은구비서로24번길 14,대전광역시 유성구 지족동 918-5,36.37417755,127.3212913
사랑예감,대전광역시 동구 송촌남로11번길 54,대전광역시 동구 용전동 22-4,36.35462101,127.4395761
온양삼색호떡,대전광역시 서구 도솔로308번길 2,대전광역시 서구 괴정동 89-1,36.33526182,127.382805
오버트플라워,대전광역시 유성구 월드컵대로316번길 5,대전광역시 유성구 상대동 454-3,36.34794966,127.3354228
소판돈판,대전광역시 동구 동서대로 1589,대전광역시 동구 홍도동 31-1,36.3447066,127.4280276
도취경,대전광역시 서구 계룡로636번길 14-23,대전광역시 서구 용문동 590-2,36.33910632,127.3908397
유니나피부관리샵,대전광역시 대덕구 계족로663번길 29-18,대전광역시 대덕구 법동 284-6,36.36959393,127.4269428
씨유유성봉명,대전광역시 유성구 계룡로87번길 61,대전광역시 유성구 봉명동 440-11,36.35688767,127.3415085
수레단,대전광역시 서구 도안북로117번길 16,대전광역시 서구 도안동 912,36.3307801,127.3417951
헌터피씨대전,대전광역시 중구 서문로 128,대전광역시 중구 문화동 311-12,36.31961821,127.4063603
우리기술,대전광역시 유성구 북유성대로 334,대전광역시 유성구 반석동 665-1,36.39436679,127.3136582
러빙헛웰빙,대전광역시 대덕구 송촌북로 23,대전광역시 대덕구 중리동 493-6,36.36453777,127.4363849
